réorganisation and clarification, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1
mode and vêtement, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
agriculture and agronomie, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
diverses and variées, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
politiques and culturelles, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
politique and parlementaire, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
footballeur and entraîneur, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1
canards and pintades, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1
dommages and intérêts, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
lexicographiques and étymologiques, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
textuelles and lexicales, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
réunis and présentés, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
arts and traditions, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
habitants and municipalité, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
scénariste and productrice, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1
nationales or internationales, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1
ville and chef, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1
histoire or répertorie, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
généalogiques and chronologiques, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1
écrite and composée, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
chasteté and obéissance, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1
claviers and pédalier, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
doctrines and sentences, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
récompenses and distinctions, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
recherche and développement, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1
magistrat and homme, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1, -1, -1
histoire and dictionnaire, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
cercle and région, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
vie and oeuvres, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
supérieur or égal, 1, -1, 1, 1, -1, -1, 1, 1, -1, -1, 1, -1
évolution and structure, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
notes and références, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
politiques or économiques, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, 1, 1
conçu and fabriqué, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1
agriculture and tourisme, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
midi and soir, -1, -1, -1, -1, -1, -1, 1, -1, -1, 1, -1, -1
appellations and traductions, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
première and deuxième, -1, -1, 1, -1, -1, 1, -1, 1, -1, 1, -1, -1
premier and second, 1, -1, 1, 1, -1, 1, -1, -1, -1, 1, 1, -1
troisième and dernier, -1, -1, -1, 1, -1, -1, -1, -1, -1, 1, 1, -1
présentation and notes, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1
normale and pathologique, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1
information and bibliothèques, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1
oiseau or distances, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
minute and demie, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
vigilance and lutte, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
rapide and efficace, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1
seule and même, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
identique or licence, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
tradition and modernité, -1, -1, 1, -1, -1, 1, -1, -1, 1, 1, 1, -1
édition and traduction, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1
promotionnel or publicitaire, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
mineures and comètes, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
cinéma or télévision, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1
géographique and méthodique, -1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1
territoriales and suivants, 1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
physiologie or médecine, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
entrées and sorties, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1
voile or voilier, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
sources and contexte, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
montées and descentes, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1
notes and documents, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, 1, -1
vaincu and tué, -1, -1, -1, -1, -1, -1, 1, -1, 1, 1, -1, -1
nationale and régionale, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, 1
vigne and vin, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1
variétés and clones, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1
seul and même, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
septième and dernière, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1
total or partiel, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1
langues and littératures, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1
dessin and couleurs, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1
fondateur and président, -1, 1, -1, -1, 1, -1, 1, -1, -1, -1, 1, -1
locales or régionales, 1, -1, -1, 1, -1, -1, -1, -1, -1, 1, -1, -1
longues and étroites, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1
administratif and financier, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1
rebonds and passes, 1, -1, -1, 1, -1, -1, 1, -1, -1, -1, -1, -1
directes and indirectes, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1
château and terres, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1
relégués and remplacés, 1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1
chronologie or date, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1
